Experiment no.,Back-ground voltage (V),Pulse voltage (V),Pulse frequency (Hz),Pulse duty factor,Wire feed rate (m/min),Table feed rate(mm/s),RMS current (V),RMS voltage (V),UTS (Mpa)
1,0.85,0.887179487,0.714285714,0.769230769,0.818181818,0.667258208,0.761804492,0.834266075,0.888917637
2,0.85,0.887179487,0.714285714,0.769230769,0.818181818,0.667258208,0.728369066,0.834874384,0.896485554
3,0.7,0.769230769,0.43956044,0.538461538,0.99,0.99,0.91787902,0.512014113,0
4,0.7,0.99,0.43956044,0.538461538,0.636363636,0.99,0.76384635,0.826996776,0.708732212
5,0.7,0.769230769,0.99,0.99,0.99,0.99,0.801812149,0.724314131,0.83221216
6,0.99,0.99,0.43956044,0.99,0.636363636,0.99,0.815020419,0.991422836,0.532384649
7,0.7,0.99,0.43956044,0.99,0.636363636,0.435847382,0.816168964,0.958939108,0.761966365
8,0.85,0.887179487,0.714285714,0.769230769,0.636363636,0.667258208,0.671005615,0.831376604,0.710974558
9,0.99,0.769230769,0.43956044,0.538461538,0.99,0.435847382,0.937468096,0.601374779,0
10,0.85,0.887179487,0.714285714,0.769230769,0.818181818,0.99,0.755423686,0.811728207,0.462225097
11,0.85,0.887179487,0.99,0.769230769,0.818181818,0.667258208,0.729581419,0.818997506,0.975226391
12,0.85,0.769230769,0.714285714,0.769230769,0.818181818,0.667258208,0.765569168,0.700225075,0.411147046
13,0.7,0.769230769,0.43956044,0.99,0.636363636,0.99,0.633039816,0.755003346,0.418025011
14,0.99,0.99,0.43956044,0.538461538,0.636363636,0.435847382,0.705206738,0.895036194,0.998339802
15,0.99,0.769230769,0.99,0.99,0.99,0.435847382,0.894525268,0.726504045,0.49829668
16,0.85,0.887179487,0.714285714,0.769230769,0.818181818,0.667258208,0.733346095,0.836425573,0.889456662
17,0.85,0.887179487,0.714285714,0.769230769,0.818181818,0.667258208,0.76218734,0.830737879,0.904010349
18,0.7,0.769230769,0.99,0.538461538,0.99,0.435847382,0.99,0.540026766,0
19,0.7,0.99,0.43956044,0.99,0.99,0.99,0.988004084,0.907050307,0.995536869
20,0.7,0.769230769,0.43956044,0.99,0.99,0.435847382,0.478432874,0.793418091,0.714273394
21,0.85,0.887179487,0.714285714,0.769230769,0.818181818,0.667258208,0.743363961,0.836668897,0.887990513
22,0.85,0.887179487,0.714285714,0.99,0.818181818,0.667258208,0.807299643,0.871950849,0.903406641
23,0.99,0.769230769,0.99,0.538461538,0.636363636,0.435847382,0.645865237,0.738274834,0.801315222
24,0.85,0.887179487,0.714285714,0.769230769,0.818181818,0.667258208,0.764994895,0.823681489,0.899805951
25,0.99,0.99,0.99,0.538461538,0.99,0.435847382,0.883167432,0.801904009,0.809486848
26,0.85,0.887179487,0.43956044,0.769230769,0.818181818,0.667258208,0.73481368,0.842660746,0.869038379
27,0.99,0.769230769,0.99,0.538461538,0.99,0.99,0.882146503,0.598454894,0
28,0.7,0.887179487,0.714285714,0.769230769,0.818181818,0.667258208,0.744831547,0.805888436,0.916278568
29,0.85,0.887179487,0.714285714,0.769230769,0.818181818,0.435847382,0.763463502,0.829369183,0.99
30,0.7,0.99,0.99,0.538461538,0.99,0.99,0.835630424,0.744205852,0.610112117
31,0.99,0.99,0.99,0.99,0.636363636,0.435847382,0.795048494,0.99,0.568348426
32,0.99,0.769230769,0.99,0.99,0.636363636,0.99,0.639739663,0.784810512,0.798210436
33,0.99,0.769230769,0.43956044,0.99,0.99,0.99,0.820316488,0.733225865,0.543078913
34,0.85,0.887179487,0.714285714,0.538461538,0.818181818,0.667258208,0.773864216,0.720573028,0.632363088
35,0.7,0.99,0.99,0.99,0.99,0.435847382,0.879721797,0.966421315,0.903298836
36,0.7,0.99,0.99,0.99,0.636363636,0.99,0.82816488,0.958239552,0.501832687
37,0.99,0.99,0.99,0.99,0.99,0.99,0.767355794,0.832380315,0.981306598
38,0.85,0.887179487,0.714285714,0.769230769,0.818181818,0.667258208,0.747639102,0.832958209,0.907654161
39,0.7,0.769230769,0.99,0.538461538,0.636363636,0.99,0.645929045,0.612324351,0.024844761
40,0.99,0.769230769,0.43956044,0.538461538,0.636363636,0.99,0.636357836,0.696058154,0.407912893
41,0.85,0.99,0.714285714,0.769230769,0.818181818,0.667258208,0.843606432,0.904312914,0.957028892
42,0.99,0.769230769,0.43956044,0.99,0.636363636,0.435847382,0.633103624,0.807622118,0.941073739
43,0.7,0.769230769,0.43956044,0.538461538,0.636363636,0.435847382,0.642674834,0.678508425,0.032772747
44,0.7,0.99,0.43956044,0.538461538,0.99,0.435847382,0.951761103,0.674828153,0.235748167
45,0.7,0.769230769,0.99,0.99,0.636363636,0.435847382,0.62468096,0.794421802,0.769016818
46,0.85,0.887179487,0.714285714,0.769230769,0.99,0.667258208,0.830972435,0.777084981,0.86800345
